\mu,\sigma,1%,25%,50%,75%,99%
0.00658,0.00045,0.00531,0.00652,0.00659,0.00666,0.00808
0.01072,0.00115,0.0058,0.01082,0.01092,0.01103,0.01328
0.0153,0.00087,0.01031,0.0152,0.01529,0.01547,0.01774
0.05451,0.00338,0.04364,0.05379,0.05413,0.05483,0.06959
0.10819,0.00858,0.06626,0.10741,0.10835,0.11008,0.15233
0.54248,0.02363,0.48013,0.53748,0.54053,0.54483,0.61043
1.12815,0.04312,0.982,1.12037,1.12617,1.14578,1.20786
