\mu,\sigma,1%,25%,50%,75%,99%
0.78759,0.96199,0.72563,0.87332,0.28403,0.95049,0.09435
0.32963,0.34614,0.9199,0.30838,0.67064,0.34099,0.5972
0.7562,0.58962,1.01084,0.89028,0.54974,0.83455,0.86787
0.92765,0.24071,0.76542,0.51247,0.62231,1.02788,1.28196
0.70356,0.79417,0.46992,1.46631,1.37258,0.93085,0.89156
2.8314,0.37325,2.54994,3.03738,3.28791,3.29197,3.62097
6.13911,0.72156,5.16751,5.79845,6.18057,5.80475,6.50869
